Sale_ID,Date,Model,Variant,Color,City,Country,Dealer,Units_Sold,Price_USD,Discount_%,Payment_Mode
1,2023-04-12,Urus,Base,Black,New York,USA,Lamborghini Miami,2,220000,5.0,Full Cash
2,2021-11-05,Huracán,EVO,Red,Berlin,Germany,Lambo Berlin,1,240000,10.0,Finance
3,2022-07-10,Revuelto,S,Yellow,Mumbai,India,Lamborghini Mumbai,3,400000,7.5,Lease
4,2020-02-19,Aventador,SVJ,White,Dubai,UAE,Lamborghini Dubai,1,500000,2.0,Cryptocurrency
5,2024-06-18,Huracán,Performante,Green,London,UK,Lambo London,2,260000,0.0,Finance
6,2020-10-03,Urus,S,Red,Bangalore,India,Lamborghini Delhi,4,230000,6.5,Lease
7,2022-12-21,Aventador,Base,Blue,Los Angeles,USA,Lambo LA,1,420000,12.0,Full Cash
8,2021-06-09,Revuelto,SVJ,Yellow,Abu Dhabi,UAE,Lambo Abu Dhabi,2,470000,3.0,Full Cash
9,2019-08-17,Huracán,EVO,White,Munich,Germany,Lambo Berlin,1,250000,8.5,Finance
10,2024-01-12,Urus,Performante,Black,Delhi,India,Lamborghini Delhi,3,225000,4.0,Lease
11,2023-03-05,Urus,Base,Red,Miami,USA,Lamborghini Miami,1,210000,5.0,Full Cash
12,2022-06-19,Huracán,S,Yellow,Berlin,Germany,Lambo Berlin,2,245000,6.0,Finance
13,2021-12-25,Revuelto,SVJ,Black,Mumbai,India,Lamborghini Mumbai,4,410000,10.0,Lease
14,2019-11-14,Aventador,EVO,White,Dubai,UAE,Lamborghini Dubai,2,495000,1.5,Cryptocurrency
15,2024-04-09,Huracán,Base,Green,London,UK,Lambo London,3,265000,0.0,Finance
16,2021-05-30,Urus,Performante,Blue,Bangalore,India,Lamborghini Delhi,1,235000,7.0,Lease
17,2023-08-01,Aventador,S,Red,Los Angeles,USA,Lambo LA,2,430000,9.0,Full Cash
18,2020-09-12,Revuelto,Base,Yellow,Abu Dhabi,UAE,Lambo Abu Dhabi,1,460000,3.5,Full Cash
19,2022-11-20,Huracán,SVJ,White,Munich,Germany,Lambo Berlin,2,255000,8.0,Finance
20,2023-01-27,Urus,S,Black,Delhi,India,Lamborghini Delhi,3,220000,4.5,Lease
